condition,difficulty,item_count,distinct_seed_doc_count,codex_reviewed_count,claude_reviewed_count,dual_reviewed_count,correct_a_count,correct_b_count,correct_c_count,correct_d_count,correct_multi_count,correct_unknown_count
gpt/baseline,easy,200,11,200,200,200,39,55,56,50,0,0
gpt/baseline,hard,200,11,200,200,200,54,41,61,44,0,0
gpt/baseline,medium,200,11,200,200,200,53,38,57,52,0,0
haiku/haiku,easy,50,11,50,50,50,7,28,5,5,5,0
haiku/haiku,hard,49,10,49,49,49,7,16,17,7,2,0
haiku/haiku,medium,50,10,50,50,50,7,18,15,9,1,0
haiku/haiku,unknown,1,1,1,1,1,0,0,0,0,0,1
haiku/local,easy,50,11,50,50,50,7,20,11,8,4,0
haiku/local,hard,50,11,50,50,50,8,18,15,9,0,0
haiku/local,medium,50,11,50,50,50,8,25,9,8,0,0
local/haiku,easy,50,10,50,50,50,4,26,13,3,4,0
local/haiku,hard,49,11,49,49,49,8,21,10,9,1,0
local/haiku,medium,50,11,50,50,50,9,26,6,9,0,0
local/haiku,unknown,1,1,1,1,1,0,0,0,0,0,1
local/local,easy,50,11,50,50,50,9,25,4,3,9,0
local/local,hard,50,11,50,50,50,10,21,12,5,2,0
local/local,medium,49,11,49,49,49,11,19,12,6,1,0
local/local,unknown,1,1,1,1,1,0,0,0,0,0,1
